# Wes Sander, MoltFire
pglib_opf_case793_goc: AC-OPF objective 260197.849930 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    6     0.0000     0.0000
  1   23   460.4590   103.2796
  2   25     0.0000     0.0000
  3   25     0.0000     0.0000
  4   31    34.6850    64.0588
  5   33     0.0000     0.0000
  6   35     0.0000     0.0000
  7   35     0.0000     0.0000
  8   35     0.0000     0.0000
  9   43   192.0537     0.7727
 10   45     0.0000     0.0000
 11   46    11.5160   160.0000
 12   47    33.9826    -3.9022
 13   52    27.6700    19.6454
 14   55    34.6740    -3.0516
 15   59     3.8330     5.4049
 16   65    20.9075     0.9146
 17   65     0.0000     0.0000
 18   71    39.2928    -3.4243
 19   80     0.0000     0.0000
 20   80     0.0000     0.0000
 21   86    65.4165     3.3135
 22   87     0.0000     0.0000
 23   90    59.5990   -10.2740
 24   93     2.9650  -122.7462
 25   98     0.0000     0.0000
 26   99     0.0000     0.0000
 27  100     0.0000     0.0000
 28  100     0.0000     0.0000
 29  105     5.0000    43.9200
 30  116     0.0000     0.0000
 31  117     0.0000     0.0000
 32  121     0.0000     0.0000
 33  131     0.0000     0.0000
 34  131     0.0000     0.0000
 35  131     0.0000     0.0000
 36  131     0.0000     0.0000
 37  133     0.0000     0.0000
 38  134     5.0000    16.6670
 39  151     0.0000     0.0000
 40  151    58.3330    43.9200
 41  151     5.0000    43.9200
 42  152    79.0000    54.8970
 43  152     0.0000     0.0000
 44  156     0.0000     0.0000
 45  159   137.2310    25.9645
 46  179    10.0000    43.9200
 47  190    27.0192   160.0000
 48  221     0.0000     0.0000
 49  221     0.0000     0.0000
 50  221     0.0000     0.0000
 51  222   486.8420   149.3501
 52  222     0.0000     0.0000
 53  223  1016.7704    82.8702
 54  223  1148.4530    82.8702
 55  223  1148.4530    82.8702
 56  224     0.0000     0.0000
 57  224   240.0000   155.5500
 58  224   295.9197   155.5500
 59  233    43.1000    33.5211
 60  236     0.0000     0.0000
 61  236   526.3160    73.3625
 62  246   460.5260   160.1250
 63  250     0.0000     0.0000
 64  256     2.0000    92.9640
 65  267   271.8945   -38.5170
 66  268   422.3160   123.1403
 67  272    78.3950    73.1727
 68  275     1.4610   155.9869
 69  281     1.7820     5.6639
 70  293     0.0000     0.0000
 71  296     0.0000     0.0000
 72  298    23.0537     4.1947
 73  303     5.0000    -8.0382
 74  304     0.0000     0.0000
 75  305     0.0000     0.0000
 76  307     6.6440    49.5304
 77  309     0.0000     0.0000
 78  326     0.0000     0.0000
 79  335     0.0000     0.0000
 80  337     1.9070     1.5225
 81  342     0.0000     0.0000
 82  345    10.5512     2.7349
 83  350    34.1420    12.1665
 84  352     0.0000     0.0000
 85  353    25.5420   160.0000
 86  357     0.0000     0.0000
 87  361   526.4300    14.4063
 88  364     0.0000     0.0000
 89  370     0.0000     0.0000
 90  370     0.0000     0.0000
 91  370     0.0000     0.0000
 92  371     0.0000     0.0000
 93  373    26.0000    20.1300
 94  374     0.0000     0.0000
 95  375     0.0000     0.0000
 96  376     0.0000     0.0000
 97  376     0.0000     0.0000
 98  380     0.0000     0.0000
 99  384     0.0000     0.0000
100  385     2.0000     0.8711
101  390     0.0000     0.0000
102  391   311.5777  -108.3358
103  395     0.0000     0.0000
104  401     0.0000     0.0000
105  402     0.0000     0.0000
106  408     0.0000     0.0000
107  414     0.0000     0.0000
108  416     2.0000   -14.8101
109  422     3.7800   160.0000
110  428     2.0000  -101.0160
111  428     0.0000     0.0000
112  428     0.0000     0.0000
113  436    11.9150   -74.0701
114  437    22.3900   137.2647
115  442     0.0000     0.0000
116  443     0.0000     0.0000
117  444     0.0000     0.0000
118  449    44.3834    -2.3524
119  469    38.2762   -74.2757
120  470     0.0000     0.0000
121  470     0.0000     0.0000
122  471     0.0000     0.0000
123  471     0.0000     0.0000
124  471     0.0000     0.0000
125  474    10.1300    73.6836
126  480    55.0161    13.4747
127  481    53.3000     5.2787
128  482    24.5610     5.6444
129  483   306.3310    75.2530
130  487    34.4260    29.2961
131  490    83.5650    22.4966
132  494    83.5990    63.2627
133  499    18.3030    17.0219
134  525     0.0000     0.0000
135  549    58.5760    -0.7740
136  559     0.0000     0.0000
137  564     0.0000     0.0000
138  565     0.0000     0.0000
139  566     0.0000     0.0000
140  567     0.0000     0.0000
141  568     0.0000     0.0000
142  569    23.7600    47.6920
143  570     0.0000     0.0000
144  571    41.3570    43.2860
145  572     0.0000     0.0000
146  573     0.0000     0.0000
147  576     0.0000     0.0000
148  578   135.0000    75.0300
149  579     0.0000     0.0000
150  579     0.0000     0.0000
151  579   526.3160   183.0000
152  580     0.0000     0.0000
153  581     0.0000     0.0000
154  581     0.0000     0.0000
155  587   963.1050   160.0000
156  591     0.0000     0.0000
157  596    90.0000    71.0566
158  599     0.0000     0.0000
159  602     0.0000     0.0000
160  611     0.0000     0.0000
161  619     0.0000     0.0000
162  620     2.0000   -11.3431
163  623     0.0000     0.0000
164  625     2.0000   -18.2931
165  630     2.0000   101.3820
166  633    10.9510    68.3436
167  634    15.4430   160.0000
168  639     0.0000     0.0000
169  640     0.0000     0.0000
170  645    98.4830    92.8550
171  645     0.0000     0.0000
172  645    98.4830    92.8550
173  646     2.0000    65.5140
174  648   125.7652    -0.9941
175  649     0.0000     0.0000
176  650     0.0000     0.0000
177  652     2.0000   -40.9303
178  652   526.3160   -75.7968
179  659     2.0000     6.5880
180  660     0.0000     0.0000
181  667     2.0000     5.1037
182  667     2.0000     8.5921
183  674     2.0000   100.2840
184  675     2.0000    -5.4900
185  679     0.0000     0.0000
186  684   310.5260   107.9700
187  684     0.0000     0.0000
188  688     2.0000    48.4403
189  690     2.0000    17.4878
190  690   267.1703    30.0478
191  693   526.3160   -50.9196
192  696     0.0000     0.0000
193  697     0.0000     0.0000
194  698     0.0000     0.0000
195  702     0.0000     0.0000
196  703     0.0000     0.0000
197  706     0.0000     0.0000
198  719     0.0000     0.0000
199  719     0.0000     0.0000
200  738     6.2820   160.0000
201  740     1.0410    94.5856
202  743     0.0000     0.0000
203  747     3.6330   160.0000
204  748     0.0000     0.0000
205  749     0.0000     0.0000
206  753     0.0000     0.0000
207  754     0.0000     0.0000
208  757     0.0000     0.0000
209  770    99.1400    73.0000
210  770     0.0000     0.0000
211  789    49.1920   118.8140
212  791   458.2848    30.2714
213  794     0.0000     0.0000

bus  Vm[pu]  Va[deg]
   1  0.99408  -11.2855
   2  1.01125  -17.1621
   3  1.01282  -13.1111
   4  0.99837   -7.2903
   5  1.01073  -17.8189
   6  1.01726  -15.7260
   7  1.01384  -12.7293
   8  1.01194  -17.1552
   9  1.00308  -12.4576
  10  1.00993  -17.7545
  11  1.01443  -18.0687
  12  1.00563  -10.5089
  13  1.00146  -14.1713
  15  1.02159  -13.1952
  16  0.99394   -8.9283
  17  0.99321   -9.1840
  18  1.01327  -10.3699
  19  1.01360  -10.2822
  20  0.99839   -7.3726
  21  0.99943  -20.8832
  22  1.00219  -10.2389
  23  0.98963    0.0873
  24  1.01808  -14.0009
  25  1.01726  -15.7260
  27  1.00965  -17.7378
  28  1.02792  -16.6700
  30  1.01605  -13.6800
  31  1.01311  -10.3688
  32  1.01073  -17.4046
